名称,相对路径,性别,年龄段,预测年龄,语速,用途,标签,典型角色,描述
元气丸,影视角色/曼波.mp3,女,青年,23岁,较快,配音,活泼|元气|可爱|热情|明亮|清脆|亲切|俏皮|治愈,热心邻居、小精灵、活跃少女、游戏向导、宠物拟人,声音清脆明亮，充满了年轻的活力与热情，语调上扬且富有节奏感，带有一种让人心情愉悦的亲和力，非常适合演绎活泼开朗、充满正能量的引导型角色或可爱少女。
快嘴刘,影视角色/成熟熊大.mp3,男,青年,26岁,较快,配音+旁白,碎嘴|幽默|接地气|轻快|吐槽|活泼|邻家|戏谑|网感,游戏主播、市井青年、吐槽up主、八卦路人、搞笑小弟,充满生活气息的青年男声，语速较快且带有明显的吐槽和戏谑感，语气轻松随意，像是在和朋友闲聊抱怨，非常适合演绎接地气的搞笑角色或短视频吐槽旁白。
灰影,影视角色/灰太狼.mp3,男,青年,33岁,适中,配音,沙哑|诙谐|狡黠|抓狂|倒霉|喜剧|夸张|妻管严|大叔音,倒霉反派、妻管严丈夫、搞怪大叔、狡猾小人、搞笑配角,声音略带沙哑和独特的颗粒感，语调中透着一股狡黠却又经常吃瘪的倒霉气质。情感表达夸张且富有喜剧张力，非常适合演绎那些看似坏心眼实则搞笑、经常抓狂或唯唯诺诺的倒霉蛋
火花,影视角色/可莉.mp3,女,儿童,6岁,较快,配音,萝莉音|奶萌|活泼|稚嫩|可爱|元气|天真|淘气,魔法少女、淘气包、小精灵、呆萌妹妹、宠物拟人,极为稚嫩可爱的幼童女声，带有明显的“奶味”和元气感，语调上扬充满活力，非常适合演绎活泼好动、天真无邪的小女孩或魔法萌宠角色。
雷霆,影视角色/战甲零号.mp3,男,青年,28岁,适中,配音+旁白,坚定|热血|正气|悬疑|有张力|磁性|穿透力|戏剧感,热血主角、科幻旁白、警探、超级英雄、调查记者,声音充满力量感与紧迫感，正气凛然且富有张力。语调上扬带有明显的戏剧性和悬疑感，非常适合演绎热血动漫主角或科幻悬疑类的预告片旁白。
翠花,影视角色/墨丹丹.mp3,女,青年,26岁,较快,配音,东北口音|泼辣|爽朗|喜剧|接地气|八卦|夸张|亲切,农村大嫂、八卦邻居、喜剧女配、泼辣老板娘、搞笑村姑,带有浓郁东北方言特色的年轻女声，语调高昂且充满喜感，节奏明快，自带一种八卦闲聊的亲切感与泼辣劲儿，非常适合演绎喜剧小品或接地气的农村题材角色。
亦衡·四郎,影视角色/四郎.mp3,男,青年,28岁,适中,配音+旁白,清晰|标准|沉稳|理性|播音腔|温和|正经|商务|中正,新闻主播、系统提示音、纪录片解说、年轻医生、商务助理,音质清晰标准的青年男声，带有明显的播音主持风格，语调平稳理性，没有任何口音，给人一种专业、可靠且略带疏离的正式感，非常适合用于资讯播报或智能助手语音。
译制腔,影视角色/鬼子.mp3,男,中年,45岁,适中,配音,译制片|夸张|滑稽|独特|洋腔洋调|戏剧性|做作|诙谐|怀旧,外国军官、伪军翻译、洋买办、滑稽反派、傲慢贵族,充满辨识度的译制片风格男声，语调夸张且带有独特的“洋味儿”转折，充满戏剧张力和诙谐感，非常适合演绎老电影中的外国角色或带有讽刺意味的反派。
痞少,影视角色/哪吒.mp3,男,青年,23岁,适中,配音,慵懒|痞气|随性|玩世不恭|欠揍|沙哑|吐槽|松弛,纨绔子弟、街头混混、搞笑男配、废柴主角、傲娇少年,充满痞气和慵懒感的青年男声，语调松弛且带有一丝玩世不恭的戏谑感，非常适合演绎性格跳脱、爱吐槽或带点“欠揍”属性的喜剧角色。
夏日甜心,影视角色/美羊羊.mp3,女,少年,16岁,较快,配音,活泼|清脆|元气|甜美|欢快|俏皮|热情|高亢|明亮,活力少女、热血漫女主、女团偶像、海边游客、活泼妹妹,声音充满青春活力与夏日热情，语调上扬且富有感染力，带有明显的喜悦和期待感，非常适合演绎阳光开朗、元气满满的少女角色或欢快的度假场景。
泼猴,影视角色/孙悟空.mp3,男,青年,28岁,较快,配音,高亢|尖细|顽皮|京腔|戏谑|桀骜|活力|张扬|独具特色,孙悟空、美猴王、顽皮少年、江湖侠客、山寨小头目,极具辨识度的戏曲风格男声，声线高亢尖细且富有张力，带有明显的京剧念白韵味和顽皮不羁的性格色彩，完美契合孙悟空这类桀骜不驯、活泼好动的经典角色。
潇洒哥,影视角色/王也.mp3,男,青年,26岁,适中,配音,随性|痞气|磁性|讲义气|不羁|散漫|慵懒|亲切,江湖游侠、痞气兄弟、热心混混、不正经主角、街头老大,声音自带一种漫不经心的慵懒感，透着一股江湖气的洒脱与随性。语调看似吊儿郎当，实则重情重义，非常适合演绎那些外表痞气但内心善良、看重兄弟情义的角色。
清羽,影视角色/唐僧.mp3,男,青年,28岁,适中,配音+旁白,清亮|温润|亲切|自然|干净|阳光|现代|柔和,暖男、青年才俊、公司职员、电台主播、邻家哥哥,干净清亮的青年男声，音色温润如玉，带有一种天然的亲切感和书卷气，语气自然柔和，非常适合演绎暖男、现代都市剧中的男主角或情感类旁白。
听云,影视角色/猴哥.mp3,男,青年,27岁,适中,配音+旁白,清亮|温润|标准|磁性|亲切|阳光|书卷气|自然,文艺青年、电台主播、深情男二、知识博主、青年才俊,声音清亮温润，吐字清晰标准，带有一种令人舒适的亲切感和书卷气。语调自然平和，如同云卷云舒般轻松，非常适合情感类旁白或年轻正面角色的配音。
说书人,影视角色/沸羊羊.mp3,男,中年,45岁,较快,配音+旁白,高亢|激昂|夸张|评书味|戏剧感|江湖气|穿透力|抑扬顿挫,说书先生、江湖百晓生、客栈掌柜、咋咋呼呼的配角、滑稽反派,高亢且充满戏剧张力的中年男声，带有浓厚的传统评书韵味，咬字极重且富有节奏感，非常适合演绎江湖说书人或情绪激动的市井角色。
玄空,影视角色/如来佛祖.mp3,男,青年,28岁,较慢,配音,温润|清冷|慈悲|禁欲|儒雅|淡然|坚定|说教,唐僧、圣僧、修仙师尊、温柔书生、世家公子,温润如玉的青年男声，语调舒缓且充满慈悲感，自带一种超脱尘世的清冷与禁欲气息，非常适合演绎得道高僧或拥有大智慧的儒雅角色。
妙语,影视角色/太乙真人.mp3,男,青年,26岁,较快,配音,阴柔|戏谑|尖细|夸张|滑稽|做作|喜感|狡黠,太监、娘娘腔、狡猾小人、搞笑配角、谄媚跟班,声音尖细且带有明显的阴柔做作感，语气夸张戏谑，尾音上挑，充满了一种滑稽的谄媚劲儿，非常适合演绎太监、娘娘腔或喜剧中的狡猾小人物。
老顽童,影视角色/村长漫羊羊.mp3,男,老年,65岁,较慢,配音,滑稽|夸张|沙哑|搞怪|亲切|喜感|接地气|卡通感,古怪老师、搞怪爷爷、反派小罗啰、动画片怪博士、老巫师,声音带有一种滑稽且略带沙哑的卡通质感，语调夸张多变，透着一股“老顽童”般的狡黠与幽默，非常适合演绎动画片中搞怪的长辈或性格古怪的喜剧角色。
言朗,角色扮演/逍遥浪客.mp3,男,青年,27岁,适中,配音+旁白,清亮|阳光|自信|现代|活力|亲切|自然|明快,都市白领、热血青年、电商主播、游戏主角、科技博主,声音清亮且充满活力的青年男声，语气中透露出自信与阳光，咬字清晰干脆，没有任何拖沓感。非常适合演绎现代都市题材的年轻男性角色，或作为科技产品、时尚资讯的解说旁白。
糖豆,角色扮演/开朗妹妹.mp3,女,少年,16岁,较快,配音,活泼|元气|甜美|清亮|少女感|可爱|稚嫩|明快,动漫女主、校园女生、精灵、魔法少女、邻家妹妹,声音清亮甜美，充满了青春的活力和元气感，语调轻快上扬，听起来非常活泼可爱，适合演绎校园动漫中的活力少女或游戏中俏皮可爱的角色。
凌渊,角色扮演/不羁少爷.mp3,男,青年,28岁,适中,配音+旁白,磁性|温润|自信|清晰|现代|沉稳|苏感|知性,精英律师、深情男主、系统旁白、电台DJ、青年才俊,富有磁性的青年男声，咬字清晰且带有温暖的质感，语调中透露出一种自信与从容。既适合演绎现代都市剧中的深情男主，也适合作为高品质的广告或系统旁白。
言慎,角色扮演/霸道总裁.mp3,男,青年,27岁,适中,配音+旁白,清冷|沉稳|磁性|内敛|疏离|高冷|冷静|质感,冷面侍卫、禁欲系师兄、高智商侦探、世家公子、精英特工,声音清冷内敛，带有独特的磁性与疏离感，语调平稳克制，没有过多的情绪起伏，却透着一种冷静的掌控力，非常适合演绎性格孤傲、行事严谨或深藏不露的角色。
沉渊,角色扮演/悄语男友.mp3,男,青年,27岁,适中,配音,磁性|温柔|深情|低沉|气泡音|男友音|苏感|亲切,深情男主、温柔学长、电台主播、古风公子、暖男,带有明显磁性和颗粒感的青年男声，语调温柔低沉，自带一种深情款款的氛围，尾音略带气泡音，非常适合演绎言情剧中的深情男主或深夜情感电台主播。
亦辰,角色扮演/志气小伙.mp3,男,青年,23岁,较快,配音,明亮|清爽|阳光|亲切|活力|少年感|自然|积极,热血少年、阳光学长、新手警察、游戏主角、邻家哥哥,充满朝气与活力的青年男声，音色明亮清爽，略带一丝未褪去的少年感。语调轻快积极，非常适合演绎热血动漫主角、阳光开朗的邻家男孩或积极向上的年轻职场新人。
语嫣,角色扮演/傲娇女王.mp3,女,青年,24岁,适中,配音+旁白,温柔|知性|清晰|柔和|亲切|甜美|顺滑|服务感,智能助手、温柔姐姐、解说员、客服、知性女白领,声音柔和清晰的青年女声，音色甜美且具有知性感，语调亲切自然，带有一种令人舒适的服务感，非常适合智能语音助手、讲解旁白或温柔的女性角色。
言沐,角色扮演/少年统帅.mp3,男,青年,24岁,适中,配音+旁白,清朗|温润|磁性|现代|自然|深情|干净|男友力|阳光,都市暖男、偶像剧男主、年轻白领、电台主播、邻家哥哥,干净清爽的青年男声，音质温润且带有磁性，语调自然舒缓，充满现代感与亲和力，非常适合演绎都市情感剧中的深情男主或阳光暖男角色。
亦柔,角色扮演/知性御姐.mp3,女,青年,26岁,适中,配音+旁白,温柔|知性|清晰|亲切|自然|治愈|端庄|细腻,客服导览、情感博主、知心姐姐、广告独白、有声书女主,声音温柔细腻，如同春风拂面，语调平稳且充满亲和力。咬字清晰自然，自带一种抚慰人心的知性美感，非常适合情感类旁白或服务型语音交互场景。
星羽,角色扮演/娇媚萝莉.mp3,女,少年,15岁,适中,配音,稚嫩|清亮|柔弱|小心翼翼|纯真|轻盈|略带羞涩,柔弱少女、受惊的小女孩、病娇妹妹、二次元萝莉、游戏引导精灵,声音清脆稚嫩，带有一种明显的柔弱感和小心翼翼的语气，仿佛有点怕生或紧张，非常适合演绎需要保护欲的少女或纯真的二次元角色。
言煦·玉面公子,角色扮演/玉面公子.mp3,男,青年,26岁,适中,配音+旁白,清澈|温柔|阳光|亲切|干净|治愈|暖男|磁性|朝气,初恋男友、温润书生、邻家大哥哥、情感电台主播、青年医生,干净清澈的青年男声，如同春日暖阳般温柔治愈，语调亲切自然且富有朝气。非常适合演绎温暖深情的男友角色、治愈系情感文案或都市职场青年的旁白。
甜心果,角色扮演/俏皮公主.mp3,女,青年,19岁,适中,配音+旁白,甜美|元气|活泼|清亮|亲切|可爱|少女感|治愈,元气少女、贴心小秘书、邻家妹妹、动漫女主、智能语音助手,声音甜美清亮，充满青春活力与朝气，语调上扬带有自然的亲和力，非常适合演绎活泼可爱的少女角色或作为具有亲和力的交互提示音。
彦希,角色扮演/耿直君子.mp3,男,青年,23岁,适中,配音,清亮|阳光|自然|温柔|亲切|少年感|暖男|干净,校园男神、温柔学长、偶像剧男主、电台主播、治愈系少年,清亮干净的青年男声，音色中带有一种天然的阳光与温暖感，语调自然流畅，没有过多的修饰，非常适合演绎校园题材的男主角或温柔治愈系的邻家哥哥。
言煦·青春男大,角色扮演/青春男大.mp3,男,青年,24岁,适中,配音+旁白,清亮|温润|阳光|亲切|自然|现代|柔和|磁性,温柔男友、邻家大哥哥、暖男学长、情感博主、青年才俊,声音清亮温润，如同初升的暖阳，带有一种天然的亲切感和书卷气。语调自然柔和，没有距离感，非常适合演绎温暖治愈系的现代青年角色或情感类旁白。
星辰,角色扮演/元气男友.mp3,男,青年,23岁,适中,配音+旁白,阳光|清亮|元气|活力|亲切|少年感|自然|明快,热血动漫男主、校园校草、年轻解说员、游戏主播、科技博主,声音清亮且富有朝气，带有一种天然的亲和力和向上的活力。发音清晰自然，语调轻快明朗，非常适合演绎充满希望的年轻角色或作为时尚、科技类内容的旁白解说。
言渊,角色扮演/高尚郎君.mp3,男,青年,28岁,适中,配音+旁白,磁性|温润|深情|沉稳|优雅|治愈|公子音|轻熟,深情男二、古风公子、温柔学长、电台主播、知性医生,温润如玉的青年男声，嗓音极具磁性且带有明显的颗粒感，语气温柔深情，如同在耳边低语，非常适合演绎深情款款的角色或治愈系的情感旁白。
小可,角色扮演/软糯萝莉.mp3,女,青年,16岁,适中,配音,甜美|活泼|灵动|可爱|稚嫩|亲切|阳光|邻家,校园少女、妹妹、宠物拟人、精灵、元气女主,声音清脆甜美，如同清晨的露珠般透亮，带着明显的少女稚气与亲切感。语气欢快灵动，非常适合演绎元气满满的校园女生或可爱的妹妹角色。
言瑾·老管家,角色扮演/得道高僧.mp3,男,老年,65岁,较慢,配音+旁白,苍老|沙哑|慈祥|稳重|叙述感|阅历|温和|慢条斯理,老管家、慈祥爷爷、隐世高人、说书老人、旧时代掌柜,声音苍老且略带沙哑，语调平缓沉稳，透着岁月的沧桑感与慈祥，非常适合演绎忠诚的老管家或回忆往事的老者。
萌莉,角色扮演/超嗲萌妹.mp3,女,儿童,6岁,适中,配音,可爱|稚嫩|甜美|活泼|灵动|明亮|纯真|软萌|元气,智能助手、魔法少女、可爱宠物、邻家妹妹、动画片主角,声音稚嫩甜美，充满元气与活力，语调上扬且带有明显的可爱感。非常适合演绎动画片中的小女孩、拟人化萌宠或儿童向的智能语音交互场景。
言煦·高傲少爷,角色扮演/高傲少爷.mp3,男,青年,23岁,适中,配音+旁白,清亮|阳光|爽朗|自信|邻家|活力|现代|友善,热血少年、大学生、电竞选手、年轻警员、邻家哥哥,声音清亮且充满朝气，透着一股年轻人的爽朗与自信，语调自然流畅，没有沉重的修饰感。非常适合演绎现代题材中性格开朗、积极向上的年轻男性角色或轻松风格的广告旁白。
清音,角色扮演/温暖御姐.mp3,女,青年,23岁,适中,配音+旁白,清亮|甜美|温柔|自然|亲切|知性|治愈|悦耳,邻家少女、客服引导、电台主播、初入职场的小白、温柔学姐,声音清亮甜美，没有过多的修饰和造作感，语调自然流畅，透着一股邻家女孩般的亲切与温柔。非常适合用于日常对话、有声读物旁白或需要拉近距离感的智能助手语音。
亦玄,角色扮演/高冷男神.mp3,男,青年,28岁,较快,旁白,悬疑|抓耳|磁性|紧凑|讲述感|现代|干练|反转,短视频解说、悬疑剧旁白、营销号主播、都市剧解说、新闻播报,充满悬念感与抓耳力的青年男声，语速紧凑且带有明显的讲述欲望，善于通过语调的变化制造剧情反转的氛围，非常适合快节奏的影视解说或短视频开头。
福伯,角色扮演/唠嗑大爷.mp3,男,老年,65岁,较慢,配音,沧桑|和蔼|故事感|略带沙哑|慈祥|管家|沉稳|忠诚,老管家、忠仆、隐世高人、慈祥爷爷、扫地僧,声音苍老中透着慈祥与稳重，略带沙哑的质感极具故事性，语调平和而忠诚，非常适合演绎陪伴主角多年的老管家或深藏不露的前辈高人。
言溯,角色扮演/青年才俊.mp3,男,青年,26岁,适中,配音+旁白,清冷|磁性|温润|理性|苏感|知性|沉稳|冷静|深情,高冷学霸、刑侦顾问、深情男二、精英律师、电台主播,声音清冷中透着一丝温润的磁性，如同山间清泉般干净悦耳。语调平稳克制，自带一种理性与智性美，既适合演绎高智商的冷静角色，也能诠释深情内敛的独白。
元气希希,角色扮演/甜美萌妹.mp3,女,青年,23岁,适中,配音+旁白,甜美|元气|清晰|亲切|明亮|活力|温柔|现代|治愈,智能助手、游戏引导员、邻家妹妹、现代都市少女、校园女主,声音清脆明亮，充满青春活力与元气感，吐字清晰且带有自然的亲切感，非常适合作为智能助手、游戏新手指引或现代甜宠剧中的活泼少女角色。
言修,角色扮演/娇弱弟弟.mp3,男,青年,23岁,适中,配音+旁白,清澈|温柔|干净|微哑|磁性|深情|忧郁|少年感|暖男,深情男二、治愈系主播、暖男学长、病娇少年、回忆独白,声音清澈中带着一丝微微的沙哑，如泉水般干净透亮，情感细腻温柔，带有一种天然的深情与脆弱感，非常适合演绎那些需要引发听众共鸣、治愈或稍带忧郁色彩的青年角色。
霜华,角色扮演/冰山女王.mp3,女,青年,28岁,适中,配音,冷艳|御姐|霸气|质感|高傲|磁性|成熟|利落,女将军、冷酷杀手、反派女魔头、高冷上司、女王,声线冷冽而富有磁性的青年御姐音，语调中透着一种不容置疑的自信与高傲。声音质感扎实，气息平稳，非常适合演绎那些身居高位、性格强势或冷酷干练的女性角色。
亦平,角色扮演/温润君子.mp3,男,青年,28岁,适中,配音+旁白,清晰|标准|温和|亲切|自然|磁性|稳重|通用|中正,AI助手、有声书旁白、科技解说、新闻播报、系统提示音,声音清晰且富有磁性，语调平稳自然，没有过多的情绪渲染，具有极高的辨识度和亲和力。非常适合作为智能助手语音、科技产品介绍或通用的有声书旁白。
元气少年,角色扮演/叛逆青年.mp3,男,青年,22岁,适中,配音+旁白,阳光|活力|清亮|爽朗|自信|朝气|少年感|亲和力,热血主角、邻家哥哥、校园男神、阳光学弟、冒险家,充满朝气与活力的年轻男声，音色清亮爽朗，如同夏日里的阳光般具有穿透力，语调自信且富有感染力，非常适合演绎热血动漫主角或青春校园题材角色。
元气酱,角色扮演/甜心少女.mp3,女,青年,23岁,适中,配音+旁白,明亮|甜美|清新|活泼|少女感|亲切|元气|悦耳|自然,智能助手、邻家少女、游戏向导、元气学妹、动画女主角,声音明亮清脆，充满了青春的朝气与活力，甜美而不腻，语调轻快且富有亲和力。非常适合作为智能助手、游戏引导员或校园剧中的活力少女角色，给人一种如沐春风的愉悦感。
墨轩,角色扮演/阴险男主.mp3,男,青年,27岁,适中,配音,磁性|深沉|腹黑|玩味|神秘|智谋|优雅|暗黑,腹黑谋士、反派卧底、心机王爷、神秘刺客、冷面军师,充满磁性的青年男声，语调中带有一丝玩味和试探，听似漫不经心实则暗藏杀机。适合演绎那些城府极深、智谋超群或背后隐藏着巨大秘密的角色，给人一种危险又迷人的感觉。
墨澜,角色扮演/柔情盟主.mp3,男,青年,28岁,适中,配音+旁白,低沉|磁性|深情|温润|雅致|稳重|苏感|魅力,贵族公子、深情男二、年轻教授、精英律师、电台DJ,声音低沉磁性，兼具温润与苏感，语调平稳优雅，情感表达深沉内敛，非常适合演绎深情款款的男主角、高知精英或深夜情感电台旁白。
清泽,角色扮演/固执男友.mp3,男,青年,23岁,适中,配音+旁白,清澈|温柔|干净|温润|细腻|书卷气|少年感|平和|治愈,温柔学长、书生、邻家哥哥、深情男二、文艺青年、治愈系男主,清澈干净的青年男声，如同清泉流过，语气温柔细腻，带有淡淡的书卷气和少年感。非常适合演绎温柔深情的角色或朗读治愈系、文艺类的文本。
清旭,角色扮演/偏执弟弟.mp3,男,青年,23岁,适中,配音+旁白,清亮|温柔|少年感|干净|亲切|阳光|治愈|初恋音|温和|舒缓,初恋男友、温柔学长、贴心男配、年轻书生、治愈系电台主播,声音清亮干净，如同清晨的阳光般温暖，带有一种天然的少年感和治愈力。语气温柔亲切，没有攻击性，非常适合演绎校园剧中的温柔学长或治愈系的情感旁白。
灵悦,角色扮演/娇媚女神.mp3,女,青年,23岁,适中,配音+旁白,清亮|甜美|温柔|灵动|知性|亲切|自然|明快,邻家少女、职场新人、游戏向导、偶像剧女主、有声书女播,声音清亮甜美，如同清晨的露珠般灵动，既带有邻家女孩的亲切感，又不失职场新人的干练与知性。语调自然明快，非常适合演绎现代都市剧女主角或进行轻松向的解说。
萌小希,角色扮演/稚嫩少女.mp3,女,儿童,6岁,适中,配音,稚嫩|可爱|软萌|清脆|甜美|活泼|天真|治愈,小女孩、精灵、智能助手、幼儿园小朋友、动漫萌宠,声音极具稚嫩感和软萌气息，咬字清晰但带有儿童特有的奶气，听感甜美治愈，非常适合演绎可爱的小女孩、动漫中的萌宠或具有亲和力的儿童角色。
言悦,角色扮演/阳光少年.mp3,男,青年,26岁,适中,配音+旁白,清亮|阳光|亲切|温润|朝气|舒适|现代|活力,暖男学长、职场新人、电台DJ、科技博主、邻家哥哥,声音清亮温润，充满阳光般的朝气与亲切感，咬字清晰自然，语调轻松愉悦。非常适合演绎现代都市剧中的暖男角色，或作为科技产品、生活类视频的解说旁白。
玄夜,角色扮演/温吞少爷.mp3,男,青年,28岁,适中,配音+旁白,低沉|磁性|温柔|高冷|深情|现代|苏感|男神音,霸道总裁、冷面王爷、深情男二、精英律师、高冷学长,声音低沉磁性，带有一种高冷中透着温柔的“苏感”。语调平静但富有内在的情感张力，非常适合演绎现代言情剧中的男主角或古装剧中深情隐忍的角色，听感迷人且富有质感。
萌桃,角色扮演/阳光甜心.mp3,女,儿童,6岁,较快,配音,稚嫩|可爱|活泼|元气|高音|清亮|童真|软萌,小萝莉、精灵、妹妹、宠物拟人、动画片主角,声音极具稚嫩感和穿透力，带有明显的幼态特征，语调上扬且充满活力，非常适合演绎活泼可爱的幼童、二次元萌系少女或调皮的小精灵角色。
薇安,角色扮演/成熟白领.mp3,女,青年,27岁,适中,配音+旁白,知性|温柔|优雅|职场|亲和|清晰|自然|理性|干练,都市白领、知性姐姐、新闻主播、AI助理、纪录片解说,声音清澈温润，兼具知性与亲和力，吐字清晰流畅，语调自然平稳，带有一种优雅干练的职场气质，非常适合演绎现代都市女性或作为专业且亲切的解说旁白。
顾言,角色扮演/文弱书生.mp3,男,青年,26岁,较慢,配音+旁白,温润|清冷|深情|磁性|优雅|柔和|克制|知性,温润公子、深情男二、年轻教授、忧郁画家、病弱书生,声音清冷温润，带有一种克制的深情和优雅的磁性。语气柔和舒缓，如同春风拂面，非常适合演绎性格内敛、情感细腻或带有忧郁气质的青年角色。
言念,角色扮演/霸道哥哥.mp3,男,青年,27岁,适中,配音+旁白,温润|磁性|深情|清澈|优雅|现代|苏感|治愈,温柔男友、电台主播、深情男主、文艺旁白、古风公子,温润如玉的青年男声，嗓音清澈且极具磁性，带有一种天然的深情与治愈感，非常适合演绎令人心动的恋爱对象或温暖人心的电台讲述者。
悦然,角色扮演/俏皮姐姐.mp3,女,青年,26岁,适中,配音+旁白,亲切|明亮|温柔|知性|清晰|自然|治愈|悦耳,AI助手、都市白领、知性姐姐、电台主播、广告旁白,声音明亮且富有亲和力，吐字清晰圆润，带有一种自然的微笑感，语调平稳又不失情感起伏，非常适合作为智能助手、有声读物或宣传片的解说配音。
苏念,角色扮演/纯情闺蜜.mp3,男,青年,24岁,适中,配音+旁白,温柔|宠溺|清亮|磁性|暖男|治愈|深情|现代|含笑,贴心男友、温柔学长、情感博主、偶像剧男主、年轻医生,声音清亮温润，自带三分笑意和七分宠溺，如同春日暖阳般治愈。语调轻松自然，非常适合演绎现代都市恋爱题材中的贴心男友或深情告白。
沁雅,角色扮演/青春女神.mp3,女,青年,26岁,适中,配音+旁白,知性|温婉|清晰|亲切|柔和|悦耳|自然|轻熟,都市白领、纪录片旁白、温柔姐姐、情感电台、客服引导,声音温婉知性，透着一股轻熟的女性魅力，语气亲切自然且富有穿透力。无论是从容的商务接待，还是温暖的情感叙述，都能给人如沐春风的听感。
彦阳,角色扮演/奶糖弟弟.mp3,男,青年,26岁,较快,配音+旁白,阳光|清亮|元气|积极|热情|亲切|自然|活力|友善,热血少年、年轻主持人、阳光学长、广告推销员、新手职员,声音清亮富有朝气，语速轻快且充满热情，像是一个充满活力的邻家大男孩或初入职场的积极青年。语气中带有明显的亲切感，适合演绎正能量角色或快节奏的广告旁白。
言瑾·低磁男,角色扮演/冷面霸总.mp3,男,青年,28岁,适中,配音+旁白,低沉|磁性|温柔|深情|苏感|现代|稳重|略带气泡音|知性,深情男配、电台主播、温柔学长、职场精英、恋爱游戏男主,声音低沉且富有磁性，尾音略带迷人的气泡音，听感温柔深情，有一种近距离耳语的“苏感”，非常适合演绎深情的现代男性角色或情感类旁白。
言瑾·冷漠总裁,角色扮演/冷漠总裁.mp3,男,青年,28岁,适中,配音+旁白,温润|清亮|磁性|现代|知性|平和|亲切|冷静,都市精英、暖男学长、新闻主播、纪录片解说、AI助手,清亮温润的青年男声，音质干净且富有磁性，语调平和自然，给人一种彬彬有礼、知性可靠的感觉，非常适合都市情感类配音或科技产品介绍。
港仔,豆哥方言/广西表哥.mp3,男,青年,26岁,适中,配音,港普|魔性|滑稽|接地气|搞怪|市井|诙谐|口音,香港小贩、街头混混、搞笑路人、茶餐厅伙计、卧底警察,带有浓重港式口音的青年男声，语调魔性且接地气，自带一种诙谐滑稽的市井气息，非常适合演绎搞笑短视频或影视剧中带有喜感的路人角色。
亦心,豆哥方言/陕普-逗星澜.mp3,女,青年,26岁,适中,配音+旁白,知性|温柔|清晰|自然|亲切|舒适|现代|大方|悦耳,职场女性、知性学姐、情感电台主播、纪录片旁白、客服向导,清晰自然的青年女声，音色干净且富有知性美，语调平稳柔和，带有淡淡的温暖感，非常适合现代都市题材的旁白解说或亲切自然的日常对话。
言瑾·福南男人,豆哥方言/福南男人.mp3,男,青年,28岁,适中,配音+旁白,磁性|温和|现代|自然|亲切|略带沙哑|都市|讲述感,电台主播、都市职场人、暖男、纪录片旁白、深情男主,声音自带一种温暖的磁性，略带一点点沙哑的质感，听起来既亲切又具有现代都市感。语气平稳自然，非常适合演绎都市职场青年、情感类电台主播或具有讲述感的旁白。
川妹子,豆哥方言/重庆-逗渝萱.mp3,女,青年,25岁,适中,配音,方言|活泼|接地气|爽朗|亲切|自然|俏皮|邻家|明亮,四川姑娘、火锅店老板娘、热心邻居、江湖女侠、导游,充满浓郁四川方言特色的年轻女声，语调上扬、明快爽朗，带有天然的幽默感和亲切感，非常适合演绎性格直率、泼辣或活泼的方言角色。
鲁大叔,豆哥方言/山东-逗明翔.mp3,男,中年,48岁,适中,配音+旁白,山东口音|朴实|憨厚|接地气|亲切|粗犷|生活化|方言,农村大叔、食堂大厨、村支书、老实巴交的父亲、小摊贩,带有明显山东风味的方言男声，音色粗犷中透着朴实与憨厚，语调接地气，毫无距离感，非常适合演绎农村题材、生活短剧中的长辈或老乡角色。
豫州老李,豆哥方言/河南-逗子登.mp3,男,中年,45岁,适中,配音,河南方言|浑厚|接地气|质朴|自然|亲切|粗犷|中气十足,农村大叔、热心邻居、地摊摊主、憨厚农民、老乡,声音浑厚且带有明显的河南方言口音，发音质朴自然，透着一股憨厚和亲切感，非常适合演绎接地气的农村大叔或热心肠的邻里角色。
椒妹子,豆哥方言/四川-逗川怡.mp3,女,青年,26岁,较快,配音,方言|四川话|泼辣|热情|爽朗|接地气|喜感|生活化|高亢,老板娘、市井大姐、热心邻居、搞怪女配、服务员,充满生活气息的四川方言女声，音色明亮爽朗，带有明显的川渝地区特色口音，语调上扬且富有节奏感，适合演绎性格泼辣、热情直爽或带有喜剧色彩的市井人物。
言瑾·铁柱方言,豆哥方言/逗铁柱.mp3,男,青年,28岁,适中,配音+旁白,温暖|磁性|清亮|自然|亲切|知性|柔和|稳重,暖男、电台主播、深情男二、知识博主、青年才俊,声音温暖清亮，带有年轻男性的磁性与活力，语调自然流畅，给人一种如沐春风的亲切感。非常适合情感类电台、有声书旁白或演绎温柔体贴的暖男角色。
东北老铁,豆哥方言/天津-逗子睿.mp3,男,青年,28岁,较快,配音,东北方言|接地气|幽默|热情|豪爽|市井|亲切|生活化,热心邻居、出租车司机、菜市场小贩、搞笑配角、网络主播,带有浓重东北口音的年轻男声，发音自带喜感和豪爽劲儿，语气热情洋溢，非常接地气，适合演绎生活化场景中的搞笑、朴实或热心的市井小人物。
